id,en_es_DEEP_to_es_difference_general_rarity,en_es_DEEP_to_es_difference_genre_rarity,en_es_DEEPL_to_es_difference_general_rarity,en_es_DEEPL_to_es_difference_genre_rarity,en_es_GOOGLE_to_es_difference_general_rarity,en_es_GOOGLE_to_es_difference_genre_rarity,en_es_TRANSFORMERS_to_es_difference_general_rarity,en_es_TRANSFORMERS_to_es_difference_genre_rarity
2005/s/2005/699/214:2,-0.0714285714285714,0.0714285714285714,-0.09523809523809518,0.0833333333333333,-0.0714285714285714,0.0714285714285714,0.0,0.0
2005/s/2005/60/976:2,0.01802656546489559,-0.037950664136622396,-0.007820136852394896,-0.03616813294232649,0.01802656546489559,-0.037950664136622396,0.013824884792626696,-0.011059907834101393
2014/s/2014/957/74:1,0.04123450543890711,-0.0149253731343283,0.06227483273288731,0.0195573854863613,0.04123450543890711,-0.0149253731343283,0.0314218381775333,0.0026184865147944984
2005/s/2005/662/471:5,0.11249999999999999,-0.0708333333333333,0.09411764705882347,-0.015686274509803907,0.11249999999999999,-0.0708333333333333,0.11249999999999999,-0.008333333333333304
2014/s/prst/2014/3/663:1,0.1333333333333333,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.09999999999999998,0.0
2005/s/2005/673/54:4,0.0,0.1,0.0,0.1,0.0,0.1,-0.01428571428571429,0.0476190476190476
2005/s/2005/60/614:4,0.08833333333333329,-0.026666666666666672,0.08833333333333329,-0.0683333333333333,0.08833333333333329,-0.026666666666666672,0.053913043478260814,-0.0556521739130435
2008/s/2008/259/52:1,0.0422794117647059,-0.038602941176470604,0.052083333333333315,-0.0653409090909091,0.09375,-0.0625,0.125,-0.0625
2011/s/2011/463/207:6,0.019519519519519524,0.027027027027027,-0.002777777777777768,0.025,0.019519519519519524,0.027027027027027,-0.002777777777777768,0.025
2005/s/2005/761/133:3,0.040404040404040414,0.0656565656565657,0.095959595959596,0.0656565656565657,0.040404040404040414,0.0656565656565657,0.040404040404040414,0.0656565656565657
2010/s/prst/2010/26/6:1,-0.02868852459016391,0.0148565573770492,-0.021112767014406397,0.0442126179831098,0.016393442622950782,0.0163934426229508,-0.0017654476670870278,-0.0010088272383354992
2014/s/2014/914/15:2,-0.03125,0.0,-0.03125,0.0,-0.03125,0.0,-0.03125,0.0
2005/s/2005/603/66:4,0.020022246941045596,-0.062291434927697495,0.031105990783410087,-0.061059907834101396,0.020022246941045596,-0.062291434927697495,0.043010752688172005,0.01433691756272401
2011/s/2011/463/522:1,-0.020833333333333315,0.0,0.041666666666666685,0.0,-0.020833333333333315,0.0,0.08333333333333337,0.0
2011/s/2011/463/264:3,0.07189542483660127,0.006535947712418291,0.130718954248366,-0.05228758169934641,0.07189542483660127,-0.05228758169934641,0.07189542483660127,-0.05228758169934641
2014/s/2014/9/90:3,-0.04597701149425287,0.0666666666666666,-0.04597701149425287,0.0666666666666666,-0.04597701149425287,0.0666666666666666,-0.008939974457215893,0.037037037037037
2005/s/2005/60/193:1,0.0,0.0,0.03846153846153838,0.0769230769230769,0.0,0.0,-0.027692307692307683,0.0015384615384615996
2008/s/2008/250/6:1,0.03829787234042553,0.003782505910165393,0.0,0.0,0.016075650118203222,-0.018439716312056806,-0.013876040703052817,-0.019888991674375606
2008/s/2008/259/24:2,-0.0018315018315017695,-0.04395604395604401,0.03258145363408521,-0.04260651629072681,-0.0018315018315017695,-0.04395604395604401,-0.02005012531328315,-0.04260651629072681
2005/s/2005/631/81:1,0.027027027027027,0.0,0.027027027027027,0.0,0.027027027027027,0.0,0.003753753753753808,0.0
2007/s/2007/677/63:1,0.0182186234817813,-0.0769230769230769,-0.03441295546558709,-0.0769230769230769,0.0182186234817813,-0.0769230769230769,-0.0018315018315018805,-0.0769230769230769
2014/s/prst/2014/3/405:1,0.005319148936170193,-0.0208333333333333,0.026595744680851074,-0.0208333333333333,-0.005555555555555591,0.0013888888888888978,0.004901960784313708,-0.0012254901960783993
2014/s/2014/957/34:2,-0.008620689655172376,-0.011273209549071697,-0.05491698595146868,-0.031928480204342295,-0.008620689655172376,-0.011273209549071697,-0.008620689655172376,-0.030503978779840894
2009/s/2009/671/10:1,0.030769230769230826,0.003846153846153902,0.024211853720050414,0.019419924337957098,0.030769230769230826,0.003846153846153902,0.014102564102564108,0.003846153846153902
2008/s/2008/324/70:3,0.024726854514088598,-0.036802760207015506,0.037082066869300906,-0.03525835866261401,0.0585106382978724,-0.0638297872340425,-0.04514789828749349,-0.0394395433316035
2014/s/2014/902/73:1,0.018478260869565277,-0.005434782608695593,0.006892895015906786,0.04029692470837751,0.018478260869565277,-0.005434782608695593,0.030657748049052413,-0.0022296544035673993
2006/s/2006/822/226:3,-0.011029411764705899,-0.007352941176470604,-0.011029411764705899,-0.007352941176470604,-0.011029411764705899,-0.007352941176470604,0.07916666666666661,0.008333333333333304
2012/s/2012/359/55:2,0.0393939393939394,0.0015151515151515006,-0.0075268817204301175,0.015591397849462396,0.0393939393939394,0.0015151515151515006,0.01666666666666669,0.016666666666666698
2011/s/res/1988_2011_/84:1,-0.00694444444444442,0.006944444444444503,-0.00694444444444442,0.006944444444444503,-0.00694444444444442,0.006944444444444503,-0.00694444444444442,0.006944444444444503
2005/s/2005/631/87:2,0.1111111111111111,0.0111111111111111,0.1777777777777778,0.0111111111111111,0.1111111111111111,0.0111111111111111,0.013071895424836583,0.003267973856209201
2014/s/prst/2014/3/1097:1,0.009677419354838679,0.0005376344086021022,0.032258064516129004,0.0,-0.00907258064516131,-0.0005040322580644983,-0.016129032258064613,0.0
2011/s/2011/298/63:1,0.04138398914518318,0.0140208050655811,-0.001920614596670922,-0.004268032437046598,0.04138398914518318,-0.0009045680687472038,-0.001920614596670922,-0.004268032437046598
2006/s/2006/822/417:1,0.01904761904761909,0.00952380952380949,0.027450980392156876,-0.015686274509803907,0.01904761904761909,0.00952380952380949,-0.031372549019607815,-0.015686274509803907
2005/s/2005/678/24:2,-0.01108374384236449,-0.006157635467980205,-0.05476190476190479,-0.01190476190476189,-0.01108374384236449,-0.006157635467980205,-0.08809523809523809,-0.01190476190476189
2005/s/2005/68/55:4,0.0008928571428571952,0.0339285714285715,-0.00952380952380949,0.032034632034632096,0.0008928571428571952,0.0339285714285715,-0.0928571428571428,0.002678571428571499
2005/s/2005/60/385:3,0.13095238095238088,0.005952380952381001,0.13095238095238088,0.005952380952381001,0.1710526315789473,0.06359649122807019,0.054347826086956486,0.0018115942028986004
2008/s/2008/324/147:3,-0.013750356226845284,0.0035622684525506015,-0.0036808111674421773,0.009792346690742401,-0.018279871130410408,0.0021011346126909025,-0.02675444740159688,0.0021011346126909025
2005/s/2005/650/8:3,-0.01851851851851849,-0.025054466230936892,-0.01257861635220131,-0.023307436182019997,-0.01851851851851849,-0.025054466230936892,-0.01851851851851849,-0.025054466230936892
2011/s/2011/463/114:2,0.004662004662004615,-0.014568764568764589,0.05128205128205121,0.0,-0.018065268065268092,-0.037296037296037296,-0.018065268065268092,-0.037296037296037296
2008/s/2008/259/14:2,0.01169590643274862,-0.0526315789473684,0.0,-0.0526315789473684,0.01169590643274862,-0.0526315789473684,0.0,-0.0526315789473684
2012/s/2012/16/120:4,-0.019157088122605387,0.002554278416347401,-0.009236453201970501,0.0190886699507389,-0.019157088122605387,0.002554278416347401,0.008620689655172403,0.003978779840848802
2005/s/2005/699/173:2,0.003409090909090917,0.015909090909090998,0.002020202020202033,0.0242424242424243,-0.002968460111317295,-0.007050092764378402,-0.02607204116638079,-0.014751286449399603
2004/s/2004/384/110:3,0.016483516483516508,-0.030219780219780196,0.016483516483516508,-0.030219780219780196,0.016483516483516508,-0.030219780219780196,0.016483516483516508,-0.030219780219780196
2005/s/2005/761/97:3,0.06196581196581197,0.0555555555555555,0.03418803418803418,0.0277777777777777,0.06196581196581197,0.0555555555555555,-0.0013416815742397503,0.0
2005/s/2005/60/854:3,0.1493506493506494,0.0194805194805195,0.09340659340659352,0.0824175824175824,0.09340659340659352,0.005494505494505503,0.07142857142857151,0.0
2012/s/2012/16/47:2,-0.054435483870967805,0.0020161290322579933,-0.0625,0.0,-0.054435483870967805,0.0020161290322579933,-0.054435483870967805,0.0020161290322579933
2000/s/2000/1196/15:2,-0.004310344827586188,-0.012931034482758591,-0.022167487684729092,-0.030788177339901496,-0.004310344827586188,-0.012931034482758591,-0.0331564986737401,-0.022546419098143297
2005/s/2005/60/124:3,0.08618199325950898,0.0185363505055368,0.06467661691542292,0.0034825870646765997,0.08618199325950898,0.0185363505055368,0.10870177414812732,0.007885102787947004
2014/s/2014/739/3:2,0.05882352941176469,0.0,0.050420168067226906,0.0,0.05882352941176469,0.0,-0.03529411764705878,0.0
2010/s/2010/497/74:2,0.018294323379069166,0.0032284100080709963,0.008847254748894084,-0.014832162373146003,0.018294323379069166,0.0032284100080709963,-0.023939630497007536,0.0015612802498048
2013/s/2013/264/13:1,0.11213235294117652,-0.027573529411764698,0.011437908496732097,-0.031045751633986998,0.11213235294117652,-0.027573529411764698,0.06951871657754011,-0.028520499108734398
