id,ar_en_DEEP_difference_general_rare_proportion,ar_en_DEEP_difference_genre_rare_proportion,ar_en_DEEPL_difference_general_rare_proportion,ar_en_DEEPL_difference_genre_rare_proportion,ar_en_GOOGLE_difference_general_rare_proportion,ar_en_GOOGLE_difference_genre_rare_proportion,ar_en_TRANSFORMERS_difference_general_rare_proportion,ar_en_TRANSFORMERS_difference_genre_rare_proportion
2000/s/2000/1190/73:1,-0.03349282296650724,-0.09688995215310998,-0.052631578947368474,-0.0789473684210526,-0.03349282296650724,-0.09688995215310998,-0.09176788124156554,-0.0823211875843454
2011/s/2011/245/55:3,-0.1339285714285714,-0.09375,-0.0968523002421307,-0.0911016949152543,-0.1339285714285714,-0.09375,-0.15873015873015872,-0.0932539682539683
2006/s/2006/154/104:3,-0.1282051282051282,-0.053846153846153794,-0.18567639257294433,-0.0848806366047745,-0.1282051282051282,-0.053846153846153794,-0.1401098901098901,-0.0824175824175824
2005/s/2005/60/183:3,-0.0769230769230769,-0.15384615384615388,-0.06583506583506579,-0.1254331254331255,-0.0769230769230769,-0.15384615384615388,-0.045209176788124195,-0.15317139001349528
2014/s/2014/740/53:1,-0.1796740994854203,-0.1882504288164666,-0.08455625436757519,-0.09818308874912648,-0.1796740994854203,-0.1882504288164666,-0.18270440251572329,-0.16855345911949687
2006/s/2006/822/44:1,-0.15656565656565669,-0.1212121212121212,-0.1444444444444445,-0.0333333333333333,-0.15656565656565669,-0.1212121212121212,-0.23611111111111116,-0.1041666666666666
2014/s/2014/943/6:2,-0.2221223021582734,-0.2678221059516024,-0.22329059829059827,-0.20707070707070707,-0.2221223021582734,-0.2678221059516024,-0.1822519083969466,-0.20367800138792508
2014/s/res/2160__2014_/79:1,-0.4015151515151516,-0.2106060606060606,-0.32744107744107753,-0.1902356902356902,-0.4015151515151516,-0.2106060606060606,-0.37463343108504404,-0.2111436950146627
2009/s/2009/170/31:1,-0.2182250127269642,-0.0985915492957746,-0.1892142327650111,-0.0985915492957746,-0.2182250127269642,-0.0985915492957746,-0.1888768508486819,-0.0985915492957746
2010/s/2010/52/43:1,-0.2478991596638655,-0.14117647058823532,-0.2478991596638655,-0.14117647058823532,-0.2478991596638655,-0.14117647058823532,-0.2571428571428571,-0.1428571428571429
2005/s/2005/60/681:6,-0.4625,-0.425,-0.5125,-0.475,-0.4625,-0.425,-0.5125,-0.475
2000/s/2000/1190/94:1,-0.36666666666666664,-0.16666666666666669,-0.33636363636363636,-0.20454545454545459,-0.36666666666666664,-0.25,-0.36666666666666664,-0.25
2005/s/2005/699/316:1,-0.18840579710144922,-0.17874396135265702,-0.13725490196078427,-0.04575163398692811,-0.18840579710144922,-0.17874396135265702,-0.026666666666666616,-0.1422222222222222
2014/s/2014/943/36:2,-0.1260620773365701,-0.1569273452401595,-0.18759512937595124,-0.1634322678843227,-0.1260620773365701,-0.1569273452401595,-0.16784948011222972,-0.1726357484733455
2005/s/2005/686/29:1,-0.3,-0.1666666666666667,-0.208695652173913,-0.15652173913043482,-0.3,-0.1666666666666667,-0.29230769230769227,-0.2
2005/s/2005/60/254:1,-0.23543123543123545,-0.2937062937062937,-0.14560439560439564,-0.2774725274725275,-0.20512820512820512,-0.26340326340326337,-0.26259946949602125,-0.35013262599469497
2008/s/2008/379/226:7,-0.19999999999999996,-0.2583333333333334,-0.36666666666666664,-0.2583333333333334,-0.19999999999999996,-0.2583333333333334,-0.25999999999999995,-0.26
2014/s/res/2178__2014_/55:1,-0.17006519628242478,-0.0998751560549314,-0.1619753086419753,-0.1111111111111111,-0.17006519628242478,-0.0998751560549314,-0.16900233566900236,-0.1111111111111111
