id,es_en_DEEP_difference_general_rare_proportion,es_en_DEEP_difference_genre_rare_proportion,es_en_DEEPL_difference_general_rare_proportion,es_en_DEEPL_difference_genre_rare_proportion,es_en_GOOGLE_difference_general_rare_proportion,es_en_GOOGLE_difference_genre_rare_proportion,es_en_TRANSFORMERS_difference_general_rare_proportion,es_en_TRANSFORMERS_difference_genre_rare_proportion
2005/s/2005/68/14:4,0.032967032967033016,-0.7087912087912088,0.032967032967033016,-0.7087912087912088,0.032967032967033016,-0.7087912087912088,0.032967032967033016,-0.7087912087912088
2013/s/2013/264/23:1,0.1610169491525424,-0.5771186440677966,0.10287741426882147,-0.5806070161608199,0.1610169491525424,-0.5771186440677966,0.10004133939644477,-0.5783381562629186
2013/s/2013/264/26:1,0.16666666666666669,-0.5555555555555556,0.041666666666666685,-0.5555555555555556,0.16666666666666669,-0.5555555555555556,0.16666666666666669,-0.5555555555555556
2014/s/res/2161__2014_/182:1,-0.03913043478260869,-0.5666666666666667,-0.04999999999999999,-0.5666666666666667,-0.03913043478260869,-0.5666666666666667,-0.01428571428571429,-0.5666666666666667
2014/s/2014/41/103:2,0.14957264957264965,-0.6196581196581197,0.13846153846153847,-0.6307692307692307,0.14957264957264965,-0.5641025641025641,0.14957264957264965,-0.6196581196581197
2014/s/2014/935/41:3,-0.07721088435374152,-0.7333333333333333,-0.0708333333333333,-0.7333333333333333,-0.0708333333333333,-0.7125,-0.08333333333333331,-0.7333333333333333
2014/s/2014/914/42:1,-0.00666666666666671,-0.7,0.01714285714285707,-0.7,-0.00666666666666671,-0.7,-0.00666666666666671,-0.7
2014/s/2014/957/29:1,0.07894736842105271,-0.6842105263157895,0.01644736842105271,-0.6842105263157895,0.07894736842105271,-0.6842105263157895,0.05263157894736842,-0.6842105263157895
2003/s/2003/90/177:4,-0.11428571428571432,-0.7357142857142858,-0.15000000000000002,-0.7357142857142858,-0.11921182266009853,-0.7369458128078819,-0.146031746031746,-0.7343915343915345
2014/s/2014/902/120:1,0.16666666666666669,-0.5993055555555555,0.1111111111111111,-0.5611111111111111,0.16666666666666669,-0.5993055555555555,0.13541666666666669,-0.6305555555555555
2005/s/2005/572/211:3,-0.07536764705882348,-0.5753676470588235,-0.05882352941176469,-0.6470588235294118,-0.07536764705882348,-0.5753676470588235,-0.021390374331550777,-0.5819964349376114
2012/s/2012/167/4:2,-0.0703296703296703,-0.6095238095238096,-0.07427055702917768,-0.5977011494252873,-0.0703296703296703,-0.6095238095238096,-0.0703296703296703,-0.6095238095238096
2010/s/2010/528/65:3,0.11142857142857138,-0.56,0.10842105263157892,-0.56,0.09897435897435897,-0.56,0.1223529411764705,-0.5305882352941178
2005/s/2005/650/46:1,-0.10526315789473692,-0.6842105263157895,-0.0935672514619883,-0.6842105263157895,-0.10526315789473692,-0.6842105263157895,-0.1578947368421053,-0.6842105263157895
