id,ar_noun_counts,ar_verb_counts,ar_lemma_counts,en_ar_DEEP_noun_counts,en_ar_DEEP_verb_counts,en_ar_DEEP_lemma_counts,en_ar_DEEPL_noun_counts,en_ar_DEEPL_verb_counts,en_ar_DEEPL_lemma_counts,en_ar_GOOGLE_noun_counts,en_ar_GOOGLE_verb_counts,en_ar_GOOGLE_lemma_counts,en_ar_TRANSFORMERS_noun_counts,en_ar_TRANSFORMERS_verb_counts,en_ar_TRANSFORMERS_lemma_counts
2005/s/2005/60/145:1,3,1,15,2,1,13,3.0,1.0,11.0,2,1,13,3.0,1.0,13.0
2012/s/2012/16/99:3,0,3,21,0,2,17,0.0,2.0,18.0,0,2,17,0.0,2.0,18.0
2006/s/2006/822/292:3,7,2,57,6,2,59,8.0,2.0,60.0,6,2,59,7.0,2.0,59.0
2011/s/2011/463/163:5,1,1,23,1,1,24,1.0,1.0,24.0,1,1,24,1.0,1.0,24.0
2005/s/2005/60/362:1,2,1,17,2,1,15,2.0,1.0,14.0,2,1,15,2.0,1.0,14.0
2005/s/2005/60/474:5,1,1,10,1,1,10,1.0,1.0,10.0,1,1,10,1.0,1.0,10.0
2008/s/2008/259/14:6,3,1,15,2,1,17,2.0,0.0,15.0,2,1,17,5.0,1.0,16.0
2014/s/2014/276/86:1,7,2,26,5,4,26,5.0,3.0,26.0,5,4,26,5.0,4.0,26.0
2012/s/2012/16/45:5,1,2,21,1,2,19,1.0,2.0,19.0,1,2,18,1.0,2.0,17.0
2005/s/2005/60/940:1,5,5,38,5,6,36,5.0,6.0,35.0,5,6,36,4.0,7.0,33.0
2005/s/2005/60/569:2,4,0,17,1,2,19,1.0,3.0,18.0,1,1,19,2.0,2.0,21.0
2005/s/2005/678/3:3,5,1,22,4,1,19,4.0,1.0,20.0,4,1,18,5.0,1.0,19.0
2005/s/2005/60/712:1,1,6,37,1,5,36,2.0,3.0,34.0,1,5,36,1.0,3.0,35.0
2010/s/prst/2010/19/9:1,11,6,69,12,4,67,11.0,6.0,67.0,11,6,69,13.0,6.0,69.0
2007/s/prst/2007/26/6:1,5,2,27,5,2,26,2.0,2.0,26.0,5,2,27,2.0,2.0,25.0
2006/s/prst/2006/4/5:4,3,1,19,3,1,15,3.0,1.0,16.0,3,1,15,3.0,1.0,18.0
2005/s/2005/60/445:16,1,2,9,0,2,8,0.0,2.0,8.0,0,2,8,0.0,2.0,9.0
2005/s/2005/60/236:4,2,2,13,2,2,13,1.0,2.0,13.0,2,2,13,1.0,2.0,12.0
2005/s/2005/60/626:2,2,1,15,2,0,16,2.0,0.0,15.0,2,0,17,2.0,0.0,17.0
2005/s/2005/572/210:1,5,4,35,4,6,34,5.0,6.0,36.0,4,6,34,5.0,5.0,34.0
2011/s/2011/463/483:1,0,2,27,1,2,26,1.0,2.0,24.0,1,2,26,0.0,2.0,25.0
2014/s/2014/41/83:5,3,3,24,3,3,21,4.0,3.0,23.0,3,3,21,2.0,4.0,20.0
2006/s/res/1735_2006_/42:1,22,16,90,20,17,92,22.0,18.0,93.0,20,17,92,17.0,18.0,75.0
2014/s/2014/902/49:1,3,1,20,3,2,25,3.0,2.0,25.0,3,2,25,3.0,2.0,22.0
2013/s/prst/2013/2/5:1,3,3,19,3,3,21,3.0,3.0,21.0,3,3,22,3.0,3.0,21.0
2005/s/2005/60/351:3,5,1,26,4,1,25,4.0,1.0,25.0,4,1,24,4.0,1.0,24.0
2008/s/2008/258/109:1,11,3,33,8,3,32,9.0,3.0,29.0,8,3,32,8.0,3.0,31.0
2006/s/2006/822/175:4,5,6,31,7,6,32,8.0,5.0,29.0,4,5,29,6.0,7.0,28.0
2005/s/2005/60/256:1,8,5,36,8,3,37,8.0,4.0,35.0,8,3,37,7.0,3.0,33.0
2005/s/2005/645/2:3,7,3,29,7,4,30,7.0,3.0,29.0,7,4,30,7.0,3.0,29.0
2005/s/2005/572/320:1,2,2,17,2,2,17,2.0,2.0,16.0,2,2,17,1.0,2.0,16.0
2005/s/2005/60/445:3,2,1,15,2,1,12,2.0,1.0,14.0,2,1,12,2.0,1.0,11.0
2005/s/2005/60/191:9,5,3,37,6,3,31,7.0,3.0,36.0,7,3,37,6.0,3.0,33.0
2004/s/2004/384/104:2,2,1,20,2,3,20,3.0,3.0,22.0,2,2,20,3.0,4.0,21.0
2009/s/prst/2009/1/119:1,8,4,48,8,4,43,12.0,4.0,44.0,8,3,43,16.0,4.0,46.0
2008/s/2008/168/8:2,1,1,27,3,1,21,4.0,1.0,21.0,3,1,21,3.0,1.0,22.0
2005/s/2005/60/577:4,0,2,9,0,1,7,0.0,2.0,8.0,0,2,7,0.0,2.0,7.0
2008/s/2008/259/39:3,1,2,20,0,2,18,0.0,2.0,18.0,0,2,21,0.0,2.0,19.0
2012/s/2012/16/101:3,4,1,24,3,1,23,3.0,1.0,23.0,3,1,23,3.0,1.0,23.0
2010/s/2010/522/64:2,10,4,46,12,1,53,13.0,3.0,52.0,13,2,53,13.0,4.0,52.0
2005/s/2005/60/664:1,9,2,35,9,3,37,9.0,2.0,35.0,9,3,37,7.0,2.0,35.0
2008/s/2008/160/12:1,8,4,28,6,4,25,7.0,3.0,26.0,6,4,25,7.0,3.0,28.0
2005/s/2005/650/6:3,5,2,28,5,2,28,6.0,2.0,29.0,5,2,28,6.0,2.0,28.0
2009/s/prst/2009/19/4:3,3,2,27,2,1,25,2.0,2.0,27.0,2,1,25,2.0,1.0,26.0
2005/s/2005/625/36:1,3,1,9,3,0,8,3.0,0.0,9.0,3,0,8,3.0,0.0,8.0
2010/s/2010/569/69:1,6,2,23,6,2,20,6.0,2.0,21.0,6,2,20,6.0,2.0,21.0
2014/s/prst/2014/3/43:1,6,1,24,7,0,20,7.0,0.0,20.0,7,0,20,7.0,0.0,20.0
2014/s/2014/902/47:1,4,2,23,2,2,26,3.0,2.0,28.0,2,2,26,3.0,2.0,28.0
2009/s/2009/289/49:4,11,5,35,8,3,30,9.0,2.0,30.0,8,3,30,9.0,3.0,31.0
2010/s/prst/2010/22/6:1,5,4,38,8,2,33,7.0,3.0,34.0,8,2,34,9.0,3.0,34.0
2005/s/2005/60/130:1,7,3,46,7,2,37,7.0,1.0,38.0,9,1,39,7.0,3.0,37.0
2004/s/2004/384/59:1,11,2,49,11,2,54,11.0,6.0,55.0,11,2,54,13.0,5.0,56.0
2011/s/2011/298/60:1,3,2,24,3,2,24,3.0,2.0,25.0,3,2,24,3.0,2.0,26.0
2011/s/2011/463/341:4,5,1,29,4,1,30,3.0,1.0,30.0,4,1,30,3.0,1.0,30.0
2008/s/2008/258/72:2,9,3,35,11,1,38,11.0,2.0,38.0,11,1,38,11.0,2.0,39.0
2005/s/2005/572/255:3,5,2,28,5,2,28,5.0,2.0,28.0,5,2,28,5.0,2.0,28.0
2013/s/prst/2013/13/10:2,9,2,41,7,2,39,7.0,2.0,40.0,7,2,39,7.0,2.0,40.0
2014/s/prst/2014/3/75:1,13,1,37,15,1,38,12.0,1.0,37.0,15,1,38,13.0,1.0,37.0
2005/s/2005/604/91:5,7,5,35,7,5,34,7.0,2.0,31.0,7,5,34,8.0,5.0,33.0
2006/s/2006/822/278:1,4,2,32,4,2,32,4.0,2.0,33.0,4,2,32,4.0,2.0,32.0
2004/s/res/1526_2004_/21:1,8,7,40,7,4,40,7.0,4.0,36.0,7,4,41,7.0,6.0,41.0
2014/s/2014/913/42:2,12,8,42,12,3,40,14.0,3.0,40.0,12,4,45,11.0,4.0,42.0
2005/s/2005/673/12:2,1,6,45,1,3,47,1.0,3.0,42.0,2,4,48,1.0,3.0,42.0
2014/s/2014/914/14:3,2,1,11,2,1,11,2.0,1.0,11.0,2,1,11,2.0,1.0,11.0
2004/s/2004/642/48:1,5,2,35,8,2,40,8.0,2.0,37.0,8,2,40,8.0,2.0,41.0
1994/s/res/918_1994_/21:1,3,4,24,3,4,23,3.0,4.0,24.0,3,4,23,4.0,4.0,23.0
2011/s/2011/298/19:1,13,3,54,13,6,48,13.0,6.0,47.0,13,6,48,15.0,5.0,53.0
2014/s/2014/41/63:1,8,3,23,5,1,24,6.0,1.0,25.0,5,1,24,5.0,2.0,23.0
2005/s/2005/60/502:5,3,7,42,6,5,37,6.0,5.0,35.0,6,5,37,5.0,5.0,34.0
2014/s/2014/571/8:1,10,1,38,10,1,40,9.0,1.0,40.0,10,1,40,11.0,1.0,42.0
2014/s/2014/419/47:1,7,0,33,7,1,37,8.0,1.0,32.0,7,1,37,6.0,0.0,32.0
2014/s/2014/740/41:3,4,4,21,5,3,19,6.0,3.0,17.0,5,3,19,7.0,4.0,22.0
2005/s/2005/68/16:1,4,5,28,5,6,32,6.0,5.0,32.0,5,6,32,6.0,5.0,33.0
2008/s/2008/324/97:3,4,3,35,2,3,37,4.0,3.0,36.0,2,3,37,6.0,3.0,38.0
2011/s/2013/467/68:5,3,1,19,3,1,20,3.0,1.0,19.0,3,1,20,4.0,1.0,21.0
2011/s/2011/463/386:1,4,0,23,4,0,23,4.0,0.0,22.0,4,0,24,3.0,0.0,23.0
2005/s/2005/60/779:6,5,5,37,8,6,37,6.0,6.0,36.0,8,6,37,6.0,6.0,36.0
2006/s/2006/154/242:1,3,1,35,4,1,39,4.0,1.0,32.0,4,1,39,4.0,1.0,35.0
2012/s/prst/2012/23/18:1,10,4,49,12,2,50,10.0,2.0,45.0,12,2,51,11.0,1.0,46.0
2011/s/res/1988_2011_/66:1,6,4,32,5,4,29,4.0,4.0,27.0,5,4,28,4.0,4.0,27.0
2005/s/2005/60/120:2,5,8,41,5,7,42,3.0,10.0,40.0,5,7,42,3.0,11.0,41.0
2014/s/prst/2014/3/347:1,5,4,33,5,4,32,5.0,4.0,30.0,5,4,32,5.0,4.0,30.0
2005/s/2005/699/206:1,9,5,48,6,4,45,6.0,7.0,46.0,6,4,45,5.0,4.0,46.0
2010/s/prst/2010/25/853:1,15,4,60,13,4,55,13.0,4.0,57.0,15,3,58,13.0,4.0,58.0
2006/s/prst/2006/28/6:2,4,7,35,3,7,31,3.0,8.0,34.0,3,7,31,3.0,8.0,33.0
2000/s/2000/1196/39:1,3,2,13,4,2,16,5.0,1.0,18.0,4,2,16,4.0,2.0,19.0
2009/s/prst/2009/1/181:1,4,1,21,4,2,20,4.0,2.0,20.0,4,2,20,4.0,2.0,21.0
2008/s/prst/2008/45/9:1,2,2,26,2,2,26,2.0,2.0,24.0,2,2,27,2.0,2.0,26.0
2006/s/res/1735_2006_/147:1,3,2,21,3,2,22,3.0,2.0,22.0,3,2,22,3.0,2.0,19.0
2005/s/2005/699/83:1,3,1,20,4,2,21,4.0,2.0,21.0,4,2,21,3.0,1.0,20.0
2011/s/2011/245/51:2,6,4,31,2,4,29,2.0,4.0,27.0,2,4,29,3.0,4.0,28.0
2013/s/prst/2013/13/13:2,4,4,40,4,2,38,4.0,2.0,36.0,4,2,38,4.0,2.0,36.0
2014/s/2014/944/11:1,2,1,18,0,2,20,0.0,2.0,18.0,0,2,19,0.0,1.0,18.0
2005/s/2005/60/209:4,6,3,24,4,3,24,5.0,4.0,21.0,4,3,24,5.0,3.0,23.0
2010/s/2010/529/37:1,7,1,25,6,1,25,6.0,1.0,24.0,6,1,25,6.0,1.0,25.0
2005/s/2005/572/213:1,17,2,72,19,2,67,18.0,2.0,66.0,19,2,67,21.0,2.0,68.0
2014/s/2014/740/7:2,2,3,29,3,3,28,4.0,3.0,29.0,2,3,29,2.0,3.0,27.0
2014/s/2014/276/115:1,7,4,42,6,4,38,5.0,4.0,38.0,6,4,38,7.0,4.0,39.0
2005/s/2005/61/106:1,2,1,11,3,2,13,2.0,2.0,13.0,2,2,13,1.0,1.0,12.0
2012/s/2012/373/105:1,5,1,21,6,1,20,5.0,1.0,21.0,6,1,20,5.0,1.0,20.0
2014/s/prst/2014/3/781:1,23,14,83,19,12,86,19.0,10.0,82.0,19,12,86,18.0,14.0,84.0
2005/s/2005/604/38:4,1,1,18,3,1,19,3.0,1.0,18.0,3,1,19,1.0,1.0,18.0
2010/s/prst/2010/25/888:1,11,4,62,10,3,58,12.0,4.0,58.0,10,2,58,11.0,3.0,60.0
2005/s/2005/60/83:1,0,0,8,1,0,6,0.0,0.0,6.0,1,0,6,0.0,0.0,6.0
1999/s/prst/1999/6/15:1,4,2,22,2,2,21,2.0,1.0,20.0,2,2,22,2.0,1.0,19.0
2014/s/2014/501/25:4,4,4,35,4,3,31,3.0,3.0,30.0,4,3,31,4.0,4.0,35.0
2005/s/2005/60/901:2,3,4,20,2,4,22,2.0,3.0,22.0,2,4,22,4.0,4.0,23.0
2012/s/prst/2012/23/17:1,6,2,24,6,1,24,8.0,1.0,25.0,6,1,25,7.0,1.0,26.0
2013/s/prst/2013/11/12:1,6,3,36,5,4,34,5.0,3.0,34.0,5,4,35,5.0,2.0,33.0
2014/s/2014/935/26:1,6,2,31,6,2,31,6.0,2.0,31.0,6,2,31,6.0,2.0,30.0
2006/s/2006/822/137:7,3,1,18,3,2,19,3.0,2.0,19.0,3,2,19,3.0,2.0,19.0
2005/s/2005/642/56:2,5,4,25,6,5,23,5.0,5.0,23.0,6,5,23,4.0,4.0,27.0
2006/s/2006/822/276:1,9,3,31,9,4,29,9.0,5.0,28.0,9,4,29,9.0,5.0,29.0
