id,es_general_rare_proportion,es_genre_rare_proportion,en_es_DEEP_general_rare_proportion,en_es_DEEP_genre_rare_proportion,en_es_DEEPL_general_rare_proportion,en_es_DEEPL_genre_rare_proportion,en_es_GOOGLE_general_rare_proportion,en_es_GOOGLE_genre_rare_proportion,en_es_TRANSFORMERS_general_rare_proportion,en_es_TRANSFORMERS_genre_rare_proportion
2010/s/prst/2010/25/847:1,0.22857142857142856,0.0761904761904762,0.22916666666666666,0.041666666666666664,0.21782178217821782,0.04950495049504951,0.22916666666666666,0.041666666666666664,0.2,0.0380952380952381
2014/s/prst/2014/3/673:1,0.3157894736842105,0.08771929824561403,0.3148148148148148,0.05555555555555555,0.32727272727272727,0.07272727272727272,0.3148148148148148,0.05555555555555555,0.3157894736842105,0.05263157894736842
2008/s/res/1822_2008_/79:1,0.45454545454545453,0.06060606060606061,0.45454545454545453,0.030303030303030304,0.48484848484848486,0.030303030303030304,0.45454545454545453,0.030303030303030304,0.48484848484848486,0.030303030303030304
2005/s/2005/699/163:1,0.3,0.15,0.325,0.15,0.3611111111111111,0.16666666666666666,0.325,0.15,0.36363636363636365,0.13636363636363635
2014/s/2014/942/24:1,0.4117647058823529,0.058823529411764705,0.5333333333333333,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.5333333333333333,0.06666666666666667,0.5333333333333333,0.0
2014/s/2014/914/36:1,0.4222222222222222,0.06666666666666667,0.45652173913043476,0.06521739130434782,0.43478260869565216,0.06521739130434782,0.45652173913043476,0.06521739130434782,0.4444444444444444,0.06666666666666667
2000/s/2000/1196/73:4,0.4,0.15555555555555556,0.36363636363636365,0.13636363636363635,0.40476190476190477,0.19047619047619047,0.36363636363636365,0.13636363636363635,0.3409090909090909,0.13636363636363635
2005/s/2005/572/209:1,0.29411764705882354,0.058823529411764705,0.2545454545454545,0.05454545454545454,0.2692307692307692,0.07692307692307693,0.2545454545454545,0.05454545454545454,0.2777777777777778,0.05555555555555555
2012/s/2012/373/641:2,0.29411764705882354,0.17647058823529413,0.34782608695652173,0.15217391304347827,0.32653061224489793,0.14285714285714285,0.34782608695652173,0.15217391304347827,0.3333333333333333,0.125
2005/s/2005/60/940:3,0.4230769230769231,0.038461538461538464,0.27586206896551724,0.034482758620689655,0.32142857142857145,0.0,0.27586206896551724,0.034482758620689655,0.28125,0.03125
2005/s/2005/60/657:5,0.2962962962962963,0.07407407407407407,0.2857142857142857,0.10714285714285714,0.2692307692307692,0.07692307692307693,0.2857142857142857,0.10714285714285714,0.2916666666666667,0.041666666666666664
2014/s/2014/276/89:2,0.27450980392156865,0.0784313725490196,0.3125,0.08333333333333333,0.3191489361702128,0.0851063829787234,0.3125,0.08333333333333333,0.27450980392156865,0.058823529411764705
2008/s/2008/806/19:2,0.38636363636363635,0.022727272727272728,0.4090909090909091,0.022727272727272728,0.38636363636363635,0.022727272727272728,0.4090909090909091,0.022727272727272728,0.38636363636363635,0.022727272727272728
2014/s/prst/2014/3/276:1,0.22580645161290322,0.04838709677419355,0.23333333333333334,0.06666666666666667,0.20689655172413793,0.034482758620689655,0.23333333333333334,0.06666666666666667,0.22033898305084745,0.05084745762711865
2011/s/2011/463/414:6,0.2826086956521739,0.06521739130434782,0.25,0.09090909090909091,0.2558139534883721,0.06976744186046512,0.23255813953488372,0.09302325581395349,0.25,0.06818181818181818
2014/s/2014/419/51:1,0.43478260869565216,0.15217391304347827,0.4318181818181818,0.1590909090909091,0.4222222222222222,0.15555555555555556,0.4318181818181818,0.1590909090909091,0.41304347826086957,0.10869565217391304
2014/s/2014/869/11:1,0.28,0.013333333333333334,0.34328358208955223,0.029850746268656716,0.3382352941176471,0.04411764705882353,0.34328358208955223,0.029850746268656716,0.26666666666666666,0.0
2011/s/2011/223/62:2,0.3888888888888889,0.018518518518518517,0.37254901960784315,0.0392156862745098,0.34615384615384615,0.038461538461538464,0.37254901960784315,0.0392156862745098,0.39215686274509803,0.0196078431372549
2000/s/2000/1190/115:1,0.2926829268292683,0.04878048780487805,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0
2009/s/prst/2009/13/5:2,0.45,0.1,0.45,0.1,0.38095238095238093,0.047619047619047616,0.45,0.1,0.45,0.1
2005/s/2005/656/17:2,0.26666666666666666,0.06666666666666667,0.2923076923076923,0.06153846153846154,0.2714285714285714,0.04285714285714286,0.2923076923076923,0.06153846153846154,0.265625,0.0625
2005/s/2005/572/244:3,0.4,0.15,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.38095238095238093,0.14285714285714285
2005/s/2005/691/7:4,0.28,0.08,0.32,0.08,0.3333333333333333,0.08333333333333333,0.32,0.08,0.32,0.08
2005/s/2005/60/687:1,0.38461538461538464,0.3076923076923077,0.3333333333333333,0.2,0.48,0.36,0.39285714285714285,0.2857142857142857,0.36666666666666664,0.23333333333333334
2009/s/prst/2009/1/140:1,0.22857142857142856,0.11428571428571428,0.25,0.08333333333333333,0.23684210526315788,0.10526315789473684,0.25,0.08333333333333333,0.23684210526315788,0.10526315789473684
2014/s/2014/935/36:1,0.44,0.16,0.5217391304347826,0.13043478260869565,0.4444444444444444,0.18518518518518517,0.5217391304347826,0.13043478260869565,0.4230769230769231,0.15384615384615385
2005/s/2005/684/22:1,0.25,0.1,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.05555555555555555
2012/s/2012/244/21:3,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.05263157894736842,0.29411764705882354,0.058823529411764705,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.05263157894736842
2014/s/2014/945/93:4,0.2641509433962264,0.07547169811320754,0.25925925925925924,0.09259259259259259,0.288135593220339,0.06779661016949153,0.25925925925925924,0.09259259259259259,0.2807017543859649,0.10526315789473684
2014/s/2014/902/110:1,0.3125,0.125,0.4482758620689655,0.13793103448275862,0.41379310344827586,0.10344827586206896,0.4482758620689655,0.13793103448275862,0.4230769230769231,0.07692307692307693
2014/s/prst/2014/3/1212:1,0.27710843373493976,0.012048192771084338,0.2804878048780488,0.012195121951219513,0.2875,0.0125,0.2804878048780488,0.024390243902439025,0.2962962962962963,0.012345679012345678
2006/s/res/1735_2006_/10:1,0.48717948717948717,0.1282051282051282,0.48717948717948717,0.15384615384615385,0.48717948717948717,0.15384615384615385,0.48717948717948717,0.15384615384615385,0.4634146341463415,0.0975609756097561
2002/s/2002/685/68:6,0.29411764705882354,0.08823529411764706,0.25806451612903225,0.12903225806451613,0.28125,0.09375,0.25806451612903225,0.12903225806451613,0.21212121212121213,0.12121212121212122
2004/s/2004/384/73:1,0.35294117647058826,0.11764705882352941,0.37735849056603776,0.1320754716981132,0.36363636363636365,0.10909090909090909,0.37735849056603776,0.1320754716981132,0.33962264150943394,0.1320754716981132
2006/s/2006/154/87:2,0.34782608695652173,0.17391304347826086,0.5,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.5,0.1111111111111111,0.4117647058823529,0.11764705882352941
2005/s/2005/60/679:5,0.3333333333333333,0.09090909090909091,0.27586206896551724,0.10344827586206896,0.2903225806451613,0.0967741935483871,0.3103448275862069,0.1724137931034483,0.32142857142857145,0.10714285714285714
