id,en_es_DEEP_difference_general_rare_proportion,en_es_DEEP_difference_genre_rare_proportion,en_es_DEEPL_difference_general_rare_proportion,en_es_DEEPL_difference_genre_rare_proportion,en_es_GOOGLE_difference_general_rare_proportion,en_es_GOOGLE_difference_genre_rare_proportion,en_es_TRANSFORMERS_difference_general_rare_proportion,en_es_TRANSFORMERS_difference_genre_rare_proportion,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2012/s/2012/373/24:2,0.029629629629629728,0.029629629629629596,0.016726403823178082,0.027479091995220993,0.029629629629629728,0.029629629629629596,0.035879629629629706,0.025462962962963,0.36876006441223835,0.09339774557165859,0.281803542673108,0.09339774557165859,0.36876006441223835,0.09339774557165859,0.43915343915343924,0.1534391534391534
2008/s/2008/801/23:1,0.060846560846560815,0.0714285714285714,0.060846560846560815,0.0714285714285714,0.060846560846560815,0.0714285714285714,0.08301404853128991,0.0344827586206896,0.4120370370370371,0.25,0.3855218855218855,0.2272727272727272,0.4120370370370371,0.25,0.417989417989418,0.238095238095238
2013/s/2013/769/81:1,-0.002695417789757404,-0.0015402387370043007,-0.01648351648351648,-0.0011773940345368994,-0.002695417789757404,-0.0015402387370043007,-0.01648351648351648,-0.0011773940345368994,0.22648083623693382,0.07715281234445,0.23809523809523814,0.12244897959183669,0.22648083623693382,0.07715281234445,0.237012987012987,0.138682745825603
2011/s/2011/463/394:4,-0.0436781609195403,0.0666666666666666,-0.0881226053639847,0.0277777777777777,-0.0436781609195403,0.0666666666666666,-0.029094827586206906,0.03125,0.1296551724137931,0.08,0.1296551724137931,0.08,0.1296551724137931,0.08,0.4396551724137931,0.25
2011/s/2011/463/149:6,0.03554006968641116,0.024390243902439,0.03174603174603169,0.0222222222222222,0.03554006968641116,0.024390243902439,0.03174603174603169,0.0222222222222222,0.3366071428571429,0.15625,0.3761904761904762,0.1666666666666666,0.3880184331797235,0.1612903225806451,0.3678571428571429,0.15625
2012/s/prst/2012/26/11:1,-0.130930930930931,-0.024024024024023982,-0.11439346323067262,-0.018856065367693284,-0.130930930930931,-0.024024024024023982,-0.14557739557739563,0.023955773955774,0.08927108927108929,0.10728910728910732,0.10726351351351349,0.2086148648648649,0.10174880763116056,0.1001589825119237,0.08494208494208488,0.1505791505791506
2011/s/2011/463/78:3,0.023569023569023573,0.037037037037037,0.07342657342657338,0.0769230769230769,0.023569023569023573,0.037037037037037,0.023569023569023573,0.074074074074074,0.2828282828282829,0.0,0.14832535885167458,0.0,0.2272727272727273,0.0,0.19786096256684488,0.0
2014/s/2014/902/22:4,0.15000000000000002,0.05,0.15000000000000002,0.09999999999999999,0.15000000000000002,0.05,0.2,0.09999999999999999,0.012500000000000011,0.012499999999999997,0.012500000000000011,0.075,0.012500000000000011,0.012499999999999997,0.012500000000000011,0.075
2011/s/2011/298/6:1,0.19705882352941184,-0.0676470588235294,0.17337461300309598,-0.06501547987616099,0.19705882352941184,-0.0676470588235294,0.17337461300309598,-0.06501547987616099,0.5042016806722689,0.16806722689075632,0.3529411764705883,0.058823529411764705,0.5042016806722689,0.16806722689075632,0.3803921568627451,0.08235294117647061
2009/s/res/1887__2009_/58:1,0.053508771929824506,0.032456140350877204,0.07582515611061552,0.0333035979779958,0.053508771929824506,0.032456140350877204,0.06471095772217422,0.031636468219729603,0.24531668153434433,0.1011002081474873,0.18684210526315792,0.06578947368421051,0.24531668153434433,0.1011002081474873,0.18511796733212343,0.103145795523291
2009/s/2009/502/195:3,0.0,0.027777777777777797,0.05555555555555558,0.0555555555555556,-0.06306306306306303,0.0262762762762763,-0.04065040650406504,0.021002710027100302,0.045045045045045085,0.0262762762762763,0.13541666666666669,0.0659722222222223,0.045045045045045085,0.0262762762762763,0.09523809523809518,0.0293650793650794
2005/s/2005/60/554:8,0.02898550724637683,-0.0018115942028986004,-0.03511705685618727,-0.005016722408026801,0.02898550724637683,-0.0018115942028986004,0.02898550724637683,-0.0018115942028986004,0.19565217391304351,0.0676328502415459,0.1662404092071611,0.0741687979539642,0.19565217391304351,0.0676328502415459,0.1167048054919908,0.11441647597254
2008/s/2008/251/100:1,0.07407407407407407,0.037037037037037104,0.1111111111111111,0.07407407407407411,0.07407407407407407,0.037037037037037104,0.07407407407407407,0.037037037037037104,0.32777777777777783,0.27592592592592596,0.32777777777777783,0.375925925925926,0.32777777777777783,0.27592592592592596,0.3015873015873016,0.2592592592592593
2005/s/2005/60/363:3,0.047742605085625334,-0.0581214322781526,0.019817073170731725,-0.038617886178861804,0.047742605085625334,-0.0581214322781526,0.06148373983739841,-0.059451219512195105,0.2714196372732958,0.1857410881801126,0.2507953340402969,0.18239660657476137,0.3073170731707317,0.2030487804878049,0.24220079410096423,0.1571185479296653
2014/s/2014/933/14:3,0.08333333333333331,0.0611111111111111,0.08333333333333331,0.0611111111111111,0.08333333333333331,0.0611111111111111,0.08333333333333331,0.0611111111111111,0.2833333333333333,0.15000000000000002,0.21666666666666667,0.15000000000000002,0.2833333333333333,0.15000000000000002,0.2833333333333333,0.15000000000000002
2004/s/prst/2004/46/4:4,-0.016666666666666663,0.0,0.050000000000000044,0.0,-0.016666666666666663,0.0,0.010000000000000009,0.0,0.01842105263157895,0.0,0.0,0.0,0.01842105263157895,0.0,0.01842105263157895,0.0
