id,es_en_DEEP_to_es_difference_general_rarity,es_en_DEEP_to_es_difference_genre_rarity,es_en_DEEPL_to_es_difference_general_rarity,es_en_DEEPL_to_es_difference_genre_rarity,es_en_GOOGLE_to_es_difference_general_rarity,es_en_GOOGLE_to_es_difference_genre_rarity,es_en_TRANSFORMERS_to_es_difference_general_rarity,es_en_TRANSFORMERS_to_es_difference_genre_rarity
2014/s/2014/945/39:3,0.017391304347825987,-0.013043478260869601,0.03809523809523799,-0.0047619047619048005,0.017391304347825987,-0.013043478260869601,0.1333333333333333,0.0111111111111111
2012/s/2012/373/242:1,-0.046218487394958,0.0,0.015686274509803907,0.0666666666666666,-0.046218487394958,0.0,-0.046218487394958,0.0
2009/s/2009/389/9:1,0.0833333333333334,0.0,0.0833333333333334,0.0,0.0833333333333334,0.0,0.23333333333333342,0.0
2005/s/2005/635/120:2,-0.1597222222222222,-0.1666666666666666,-0.1111111111111111,-0.1111111111111111,-0.1597222222222222,-0.1666666666666666,-0.16959064327485382,-0.11403508771929821
2013/s/2013/327/52:1,-0.0782513661202186,-0.0133333333333333,-0.09464480874316938,-0.0133333333333333,-0.0782513661202186,-0.0133333333333333,-0.1233333333333333,-0.0133333333333333
2005/s/2005/631/50:1,-0.08333333333333331,0.0416666666666666,-0.1333333333333333,0.04,-0.08333333333333331,0.0416666666666666,-0.10256410256410262,0.0
2005/s/2005/656/12:1,-0.02650063856960408,-0.0519795657726693,-0.004873294346978474,-0.0423001949317739,-0.02650063856960408,-0.0519795657726693,-0.0219711236660389,-0.0528562460765851
2005/s/2005/60/426:5,-0.1524500907441017,-0.0862068965517241,-0.1349062310949789,-0.0862068965517241,-0.1524500907441017,-0.0862068965517241,-0.1408533021624781,-0.0862068965517241
1999/s/prst/1999/6/20:2,-0.015789473684210603,-0.02,0.04242424242424239,-0.02,-0.010810810810810811,-0.02,0.028571428571428498,0.0085714285714285
2005/s/2005/662/482:6,-0.12087912087912078,-0.024725274725274693,-0.1322751322751322,-0.03042328042328038,-0.12087912087912078,-0.024725274725274693,-0.0685714285714285,0.02142857142857152
