id,en_ar_DEEP_difference_general_rare_proportion,en_ar_DEEP_difference_genre_rare_proportion,en_ar_DEEPL_difference_general_rare_proportion,en_ar_DEEPL_difference_genre_rare_proportion,en_ar_GOOGLE_difference_general_rare_proportion,en_ar_GOOGLE_difference_genre_rare_proportion,en_ar_TRANSFORMERS_difference_general_rare_proportion,en_ar_TRANSFORMERS_difference_genre_rare_proportion
2007/s/2007/476/46:2,0.030414746543778792,0.008294930875576034,0.047619047619047616,0.019047619047619035,0.030414746543778792,0.008294930875576034,-0.01696428571428571,-0.0017857142857142794
2003/s/ac_26/2003/30/198:1,0.0,0.0,0.0,-0.1428571428571429,0.0,0.0,0.1428571428571429,0.1428571428571428
2004/s/2004/832/133:1,0.016129032258064502,0.039314516129032195,0.0625,0.03125,0.016129032258064502,0.039314516129032195,0.08064516129032262,0.039314516129032195
2008/s/2008/598/282:3,0.1269841269841271,0.08730158730158732,0.10084033613445387,0.06442577030812324,0.1269841269841271,0.08730158730158732,0.1596638655462186,0.12324929971988796
2014/s/2014/17/2:1,-0.03875968992248058,-0.042337507453786505,0.0,0.0,-0.03875968992248058,-0.042337507453786505,0.0,0.0
1999/s/1999/896/corr_1/17:1,0.0,-0.3,-0.022222222222222254,-0.3888888888888889,0.05714285714285705,-0.3571428571428572,0.0,-0.3
2012/s/prst/2012/13/9:1,-0.018421052631579005,-0.03421052631578947,-0.07105263157894737,-0.08684210526315789,-0.018421052631579005,-0.03421052631578947,-0.03888888888888886,-0.016666666666666663
2009/s/2009/10/add_48/24:1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010/s/2010/619/44:1,0.0793650793650793,0.003968253968253899,-0.010536398467432928,-0.009578544061302707,0.0793650793650793,0.003968253968253899,0.0793650793650793,0.0396825396825396
2012/s/2012/486/31:1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001/s/ac_26/2001/18/547:1,-0.09236453201970451,-0.1527093596059113,-0.05788177339901479,-0.049261083743842304,-0.09236453201970451,-0.1527093596059113,-0.07857142857142863,-0.0685714285714285
2011/s/2011/678/12:4,0.02941176470588236,0.013071895424836583,-0.029411764705882415,0.013071895424836583,0.02941176470588236,0.013071895424836583,0.1428571428571429,0.20634920634920628
1999/s/1999/47/13:1,-0.0803571428571429,-0.11607142857142849,-0.07142857142857151,0.0,-0.059523809523809534,-0.09523809523809518,-0.10952380952380958,-0.09523809523809518
2002/s/2002/187/174:1,0.08333333333333337,0.0,-0.025641025641025605,-0.006410256410256401,0.08333333333333337,0.0,0.08333333333333337,0.0
2009/s/2009/246/65:2,-0.0463709677419355,-0.0897177419354839,-0.0625,-0.09375,-0.0463709677419355,-0.0897177419354839,-0.0776515151515152,-0.0975378787878788
2002/s/ac_26/2002/31/334:1,-0.0888888888888889,0.19999999999999996,-0.0888888888888889,0.19999999999999996,-0.0888888888888889,0.19999999999999996,-0.1393939393939394,0.07878787878787874
2000/s/ac_26/2000/17/342:6,-0.1363636363636364,0.0909090909090909,-0.1363636363636364,0.1818181818181818,-0.1363636363636364,0.0909090909090909,-0.16666666666666669,0.2222222222222222
2002/s/ac_26/2002/3/427:2,-0.07063492063492072,-0.020634920634920673,-0.07063492063492072,-0.04920634920634928,-0.07063492063492072,-0.020634920634920673,0.0016339869281045694,0.016339869281045694
