id,en_es_DEEP_difference_general_rare_proportion,en_es_DEEP_difference_genre_rare_proportion,en_es_DEEPL_difference_general_rare_proportion,en_es_DEEPL_difference_genre_rare_proportion,en_es_GOOGLE_difference_general_rare_proportion,en_es_GOOGLE_difference_genre_rare_proportion,en_es_TRANSFORMERS_difference_general_rare_proportion,en_es_TRANSFORMERS_difference_genre_rare_proportion
2011/s/2011/463/324:11,0.04525455688246388,-0.037712130735386595,0.05426356589147291,-0.0452196382428941,0.04525455688246388,-0.037712130735386595,0.04525455688246388,-0.037712130735386595
2005/s/2005/645/8:1,-0.018808777429467016,0.0010449320794148065,-0.07792207792207789,0.02813852813852813,-0.053291536050156685,-0.03343782654127481,0.0,0.030303030303030276
2005/s/2005/60/531:1,0.07407407407407413,0.0185185185185186,0.1043771043771044,0.0033670033670034627,0.07407407407407413,0.0185185185185186,0.07407407407407413,-0.02314814814814814
2006/s/2006/822/147:4,-0.030303030303030276,0.0,0.0,0.0,-0.030303030303030276,0.0,0.0,0.0
2014/s/2014/902/41:1,0.015151515151515138,-0.007575757575757569,0.027972027972027913,-0.013986013986014068,0.015151515151515138,-0.007575757575757569,0.015151515151515138,-0.0670995670995671
2009/s/2009/193/112:2,-0.019607843137254888,0.019607843137254943,-0.10256410256410262,-0.014705882352941124,-0.019607843137254888,0.019607843137254943,-0.08333333333333331,0.02375565610859731
2014/s/res/2161__2014_/5:1,0.019354838709677413,-0.016129032258064502,0.010752688172043001,-0.06451612903225812,-0.022592726833393695,-0.05170955660263388,-0.0028673835125447855,-0.00501792114695343
2014/s/2014/902/136:2,-0.1071428571428572,-0.0029761904761904656,0.010869565217391297,-0.07336956521739135,-0.1071428571428572,-0.0029761904761904656,-0.1071428571428572,0.044642857142857095
2005/s/2005/699/319:1,0.061475409836065587,0.02000964320154297,0.0666666666666666,0.013725490196078494,0.061475409836065587,0.02000964320154297,0.055084745762711884,0.024177467597208402
2004/s/2004/384/75:2,0.006666666666666599,-0.006666666666666599,0.048333333333333284,-0.006666666666666599,0.006666666666666599,-0.006666666666666599,0.006666666666666599,-0.006666666666666599
2005/s/2005/699/115:1,-0.040336134453781536,-0.049579831932773155,-0.05882352941176472,0.05882352941176461,-0.040336134453781536,-0.049579831932773155,-0.040336134453781536,-0.049579831932773155
2011/s/2011/463/145:6,-0.08994708994709,-0.06349206349206349,0.1285403050108933,0.04575163398692805,-0.06397306397306401,-0.0505050505050505,-0.11851851851851847,-0.05777777777777782
2005/s/2005/60/233:6,-0.07509157509157512,-0.05860805860805862,0.08952380952380962,-0.0647619047619048,-0.07509157509157512,-0.05860805860805862,-0.03663003663003661,-0.05860805860805862
2014/s/2014/945/43:2,0.057275541795665685,-0.0603715170278637,0.005582137161084605,-0.03987240829346084,0.057275541795665685,-0.0603715170278637,0.005582137161084605,-0.07017543859649122
2010/s/2010/528/60:2,0.05357142857142849,0.059523809523809534,0.059782608695652106,0.03260869565217395,0.05357142857142849,0.059523809523809534,0.059782608695652106,0.03260869565217395
2003/s/2003/216/24:1,0.04201680672268904,0.04201680672268904,-0.003095975232198178,0.049535603715170295,0.04201680672268904,0.04201680672268904,0.04201680672268904,0.04201680672268904
2012/s/2012/373/359:2,0.0,-0.07692307692307687,0.0,-0.038461538461538436,0.0,-0.07692307692307687,-0.054487179487179405,-0.10897435897435892
2005/s/2005/673/84:2,0.0,-0.017094017094017033,0.0,-0.017094017094017033,0.0,-0.017094017094017033,-0.014184397163120532,-0.02891434806328419
2012/s/prst/2012/17/5:1,0.015384615384615385,0.0064102564102563875,-0.009024833434282231,-0.013143549364021845,0.015384615384615385,0.014743589743589691,-0.004615384615384577,-0.008923076923076922
2008/s/2008/379/33:1,0.02222222222222231,0.0,0.012466124661246691,0.02276422764227648,-0.0027777777777777124,0.01666666666666672,-0.005228758169934622,0.03137254901960784
2005/s/2005/657/21:5,0.0,0.021739130434782705,0.0,0.0,0.0,0.021739130434782705,0.02860411899313503,0.040045766590389054
2005/s/2005/60/418:6,-0.2032967032967033,0.06043956043956045,-0.1263736263736264,-0.016483516483516425,-0.2032967032967033,0.06043956043956045,-0.2032967032967033,0.06043956043956045
2005/s/2005/634/21:2,0.0098039215686275,0.03921568627450989,0.0098039215686275,0.03921568627450989,0.0098039215686275,0.03921568627450989,0.0,0.0
2014/s/2014/9/13:4,-0.07741935483870971,-0.02473118279569897,-0.017647058823529516,-0.09019607843137256,-0.07741935483870971,-0.02473118279569897,-0.05714285714285722,0.004761904761904745
