val,en_general_rarity,es_en_DEEP_general_rarity,es_en_DEEPL_general_rarity,es_en_GOOGLE_general_rarity,es_en_TRANSFORMERS_general_rarity,ar_en_DEEP_general_rarity,ar_en_DEEPL_general_rarity,ar_en_GOOGLE_general_rarity,ar_en_TRANSFORMERS_general_rarity,es_general_rarity,en_es_DEEP_general_rarity,en_es_DEEPL_general_rarity,en_es_GOOGLE_general_rarity,en_es_TRANSFORMERS_general_rarity,ar_general_rarity,en_ar_DEEP_general_rarity,en_ar_DEEPL_general_rarity,en_ar_GOOGLE_general_rarity,en_ar_TRANSFORMERS_general_rarity
12100,0.2016096948007731,0.1892207188277482,0.19273056438109218,0.1924576551863232,0.1911065092439757,0.19044111761588664,0.1989411094344676,0.19279397052535888,0.18961472148153444,0.22440754469967533,0.22808664771640008,0.23104661014600406,0.22917954295453363,0.22391635992631823,0.48269332397445797,0.45844537559229037,0.45884053457663776,0.45835181279718135,0.47533061920202774
12350,0.1991881851241276,0.1863532350105084,0.19000463331044767,0.18963579870399563,0.18846698729530703,0.1868248197557921,0.19602101708252256,0.18918024499936373,0.1869706125345691,0.223318200226091,0.227028547102571,0.2298683947030006,0.2281104853699236,0.22286689063737192,0.4809826385234738,0.4564700844322247,0.4569368636158967,0.4563928549784958,0.47387855063671486
12600,0.197957321397323,0.18530773894805394,0.18889720596900436,0.18860299768581398,0.18726851690712,0.18561550628326212,0.19471444148651942,0.18800268970279788,0.18562754434809953,0.2219552260501258,0.22551071156201483,0.2285524208578565,0.22661741426144977,0.2214263923913141,0.4786120549411606,0.454297694404826,0.4546255522697201,0.4541974528926383,0.4716903815658639
12850,0.1963287569145729,0.1837176821579409,0.18738095250273012,0.18700677795162238,0.18580709384070454,0.18415325565838148,0.1930159351075861,0.18655028381502228,0.18398693302018268,0.219634949950996,0.22309509517614334,0.22610390875868416,0.2242124132871444,0.21908395651508694,0.4737650328068785,0.44927002451595627,0.4496721702901271,0.4491891486750016,0.46696535098011316
13100,0.19510540551032712,0.18246714190214652,0.18621303380640716,0.18573455541097705,0.18467283947506624,0.18293783692889287,0.19185394188061858,0.1853230559380321,0.18281427156393792,0.21847369841432707,0.2217835937539953,0.2249551852583722,0.22290881619065772,0.2179038807745513,0.4713537761831977,0.44686438087827346,0.4473420114211735,0.4468027500509667,0.4644550310270891
13350,0.1938394170542976,0.1812003922773557,0.18485821061302776,0.18445836106722044,0.1832691570943917,0.18167049409883368,0.1905142924866947,0.18406355256555776,0.1814236920837176,0.21691706909716646,0.220050407764015,0.22317311108968707,0.22117322308232862,0.21635328584622657,0.4679247722679846,0.44319881215496393,0.4440200238868137,0.4431152128771201,0.46117384539529854
13600,0.19225268976312737,0.1787315419300176,0.1820790203549975,0.1820264425865811,0.18176972352539197,0.18041594139589318,0.18912881891235725,0.18280830792014974,0.18010222443546264,0.2147773610658756,0.21778154053117602,0.22093398239533782,0.21886051134308765,0.2141358994784263,0.4660801354009862,0.44084033060884736,0.44188044968633655,0.440802717697329,0.45920303299088594
13850,0.19070659837155432,0.17710041109361593,0.18061228804512872,0.18037931076761968,0.18032121056336764,0.17875395109347694,0.18763287409154406,0.18114350827173403,0.17860934649324986,0.21322055062494058,0.21618120446567107,0.21934902506552717,0.21727430323637978,0.21260987712649193,0.4644739050758372,0.4393961265664957,0.43988860238654,0.43933118085339007,0.45766495342695257
14100,0.18927753127713068,0.17536014866863378,0.1790563301276299,0.17865398819379386,0.17876592061404467,0.17710155051468873,0.18607659306958144,0.1794707709173994,0.17707520031271481,0.21188577622260585,0.21457910775086447,0.2181423641242903,0.215659442812597,0.21125851825290454,0.46346407329138706,0.43816616301836075,0.4386782432660389,0.43808870336271205,0.4565618094342628
14350,0.18797740678992542,0.17410983880402464,0.1777675606532456,0.1774212214696234,0.1775119197733108,0.17575720650455462,0.1847346427055836,0.17808263981240854,0.17580497156689825,0.21017353458335242,0.212908304145483,0.21643161801738567,0.2140075146600431,0.209585153336449,0.4613623724930103,0.43581323317690807,0.4364171451359057,0.4357227576543572,0.4542214504958919
14600,0.18658115102080905,0.17209176793984657,0.17647068116183964,0.1753927655464511,0.17609990742386014,0.17437878046312372,0.18336561411691787,0.1767074460983341,0.17430922805602056,0.2090024295718226,0.21167764009758433,0.2150611237135045,0.21278434463672127,0.20835851151448107,0.4579030096582895,0.4323401178938711,0.4327936143444603,0.43228939866771143,0.4504696888557349
14850,0.18407835115613766,0.16979392157525836,0.1740894903683653,0.17308677771594036,0.17361429016261612,0.17222379801308121,0.18103995449291743,0.17455398508978043,0.17190031586332313,0.2079741209481289,0.21054725441466077,0.21406856274417513,0.21166028665953296,0.20740183494710496,0.4563294122736762,0.4306632768227901,0.4311338539397959,0.43065507294540517,0.44887895340262396
15100,0.18210008527718272,0.1676654688578387,0.17196136795381098,0.1709569198457535,0.17156175573219018,0.17007997854494872,0.17901020223654088,0.17240969373924853,0.1698827025686154,0.2068496695088256,0.2094201921720462,0.2127754807970131,0.21053691272803665,0.20631916669677414,0.4548099908199695,0.4291455200501784,0.429744590069424,0.4291595788152542,0.4474629149853009
15350,0.18045635743519872,0.16579466645908192,0.17006757049395596,0.16904456609709134,0.16980187406220457,0.16810822234971445,0.17747775922455825,0.17038166102641503,0.16829027717596856,0.2059479972412848,0.20854223645196857,0.21174280964804687,0.2096815258321282,0.20539381137681695,0.45269079641795695,0.4271272987567277,0.4277196419777084,0.4271094148995158,0.44516898226039286
15600,0.17885382684922232,0.1642809168734237,0.16837562156109978,0.1675250418506953,0.16825077248048503,0.16654572549088845,0.17579050761211318,0.16879871620355166,0.1666780167486414,0.20353410562477534,0.20632607145565598,0.20932090721220364,0.20747431417860343,0.20291061155915271,0.44986613402149905,0.42437045077028235,0.4250939203969319,0.4243375371352235,0.44221612282972406
15850,0.1782162867508867,0.16364003669278002,0.1677123957342914,0.16689439280680854,0.16758705570910815,0.16589342004457175,0.1751078634317719,0.168158222748924,0.16600741199052937,0.20196420115190417,0.2045840894594551,0.2075917962206387,0.20574265346302584,0.20114180542347568,0.4458251712478525,0.42100729006547233,0.4216273294520943,0.42105236089015763,0.4381054608330282
16100,0.17716186129127712,0.16256502343829116,0.1666326713276523,0.1658474412602461,0.1664341668702887,0.16477398190568335,0.1739672409262967,0.16703396843608526,0.1648518416629071,0.20079196825402762,0.20321341537219448,0.20636620934132802,0.2044020404980641,0.1999213890907549,0.4444671143610756,0.4197078538411019,0.4203847887912922,0.4197403837872672,0.4369641376206645
16350,0.17582267107585617,0.16105100226388636,0.1651085950162996,0.16424891105289188,0.1650299443802469,0.16312294440116892,0.17241561620343207,0.16531911713384104,0.1634986314807581,0.19940100620721893,0.20161454966759434,0.20466816004108163,0.2028177802535139,0.19866045943825458,0.44317942859754594,0.41823789634949426,0.4189762267035664,0.41828885501266716,0.4355573747885716
16600,0.17506794265964828,0.16022530303809407,0.16427134071290322,0.16342903608759995,0.16423613902038214,0.16228155099411626,0.17076420074452256,0.16448645795240144,0.16275444474090717,0.1980064198828618,0.20020282433156908,0.20326248059320443,0.20138303337578542,0.19735263447789284,0.43945066199728655,0.41492768319372364,0.41502352738222387,0.4151276207842375,0.4318850756725734
16850,0.17431663928042412,0.15950715545476163,0.16350947781992728,0.1627175905615021,0.16352541264874512,0.16159037253370212,0.1699582781314212,0.16377545611658995,0.16198812540023502,0.1967906008945676,0.19890108036894527,0.2018606721991384,0.20010857307544802,0.19596559557560353,0.4375220088977349,0.41284555745618934,0.4130361569850085,0.41307632774055003,0.4298974532706209
17100,0.17311905394759128,0.15828726715163302,0.16223696546432573,0.16149413053794345,0.16234590776882915,0.1604541167352679,0.16875490008969757,0.16265556743231313,0.16094358854915103,0.19599151840273665,0.19805261973257615,0.20102583470095522,0.1992698508422619,0.19517901346050456,0.4360194629664655,0.41126697376403265,0.41151463423998796,0.41153511114636726,0.4282868911002221
17350,0.1713453369311821,0.1562793400629777,0.1604702264894844,0.15948621551334627,0.1605240607202166,0.15838516653439563,0.16702074186679688,0.16057240343930915,0.15913301198452326,0.19494288560991704,0.19701582386217187,0.19992818939868545,0.19823134135255274,0.19413708761625698,0.43469955044240915,0.41009989070028,0.4103343262861567,0.41034952816969844,0.4271096823271269
17600,0.17036496195284898,0.1552639801553131,0.1594097167670329,0.15849061460191635,0.1595662389590828,0.15743378652480663,0.16596300947715747,0.15963570340122496,0.15814308614495493,0.19372616816792199,0.195850354656175,0.19870471914026278,0.19708653180224756,0.1929644900502615,0.4323344303202168,0.40813137000355626,0.40868723648977195,0.408356408859382,0.42531208229884454
17850,0.16929546372040605,0.15424562905092576,0.1584050573602141,0.15747230945070004,0.15863172401751754,0.15624899507045187,0.1648937148933473,0.15844603593859843,0.15715628975334153,0.19225347765604867,0.194155648910877,0.1970746402817661,0.1954032879915664,0.19133920039358407,0.43091600414838716,0.40680409441091914,0.4073549053627113,0.40703887344435846,0.42398634074283803
18100,0.16875065773324094,0.1535008593792806,0.15769092843358196,0.15672232737778272,0.15806440263409882,0.1555526310735833,0.16420877376864032,0.15775435231211296,0.15675200545111848,0.1915839066724702,0.1935486627627546,0.19652255553805967,0.19480361132514074,0.1906557832418045,0.4274750751250522,0.4033162612452434,0.4037089230653285,0.40360876284371583,0.4203233074447772
18350,0.16778550968497133,0.1527504009924707,0.15680569422278642,0.15598598767604235,0.1571389539735087,0.15479594272015393,0.16332717482974377,0.1570172438424869,0.15580019699172273,0.19081756215840587,0.19287106189473685,0.19585806785677096,0.19411568373045943,0.18983201236789984,0.4262904065776384,0.4020918968493803,0.4024536322295259,0.4023672807630494,0.419258962068593
18600,0.16698979658078297,0.1519114264781921,0.15592880713347454,0.15516155133807055,0.15635655890447112,0.15392722005504747,0.16246967730132292,0.15615816099414231,0.15499953577726203,0.18968268504170013,0.1919882765027043,0.19497652003801305,0.1932345545025307,0.1887761260774726,0.42489445193718445,0.40046646958207566,0.4007375577764361,0.4007730722546294,0.41776382213567104
18850,0.1662529672402097,0.1512553597193974,0.15516792050576725,0.15451427001050483,0.1557128554079591,0.15325355715562344,0.16187034875832268,0.15549167700344885,0.15438062252462867,0.1890595898380533,0.1912637217516445,0.19430072810470533,0.19251207018902064,0.18821807778149266,0.42335308907991065,0.3987485091886487,0.3991914380857667,0.3990798964232347,0.41614359387230726
